iter	RMSE
406	0.5228327283
407	0.5195230636
408	0.516673194
409	0.5141943625
410	0.5128755572
411	0.5089831488
412	0.506505101
413	0.5043063077
414	0.5028458035
415	0.4990411573
416	0.4957103274
417	0.4949565272
418	0.4927870203
419	0.4901825024
420	0.4866965059
421	0.4843937032
422	0.4810563951
423	0.4791670664
424	0.4770728468
425	0.4733228533
426	0.471362564
427	0.4706560934
428	0.4693131011
429	0.4666067154
430	0.4645739331
431	0.4639134565
432	0.4608311306
433	0.4590115688
434	0.4574323484
435	0.4544366913
436	0.452255285
437	0.4517579766
438	0.4502399541
439	0.448567769
440	0.4480865293
441	0.4463140881
442	0.4443740791
443	0.4438982548
444	0.4419360908
445	0.4397563696
446	0.4369923121
447	0.4352471203
448	0.4321432642
449	0.4296140858
450	0.4291767088
451	0.4281633892
452	0.42630526
453	0.4242026976
454	0.4224182839
455	0.4209482803
456	0.4196588038
457	0.4183374631
458	0.4159809557
459	0.4147041306
460	0.4124234901
461	0.4102959546
462	0.4098229854
463	0.4093577424
464	0.407374354
465	0.405021745
466	0.403320061
467	0.4028753007
468	0.4011041622
469	0.3992587479
470	0.3976588194
471	0.3957875582
472	0.3944490451
473	0.392086585
474	0.3904880237
475	0.3877358049
476	0.3864857641
477	0.3842805927
478	0.382245701
479	0.3801166109
480	0.3794711295
481	0.3779357207
482	0.3764246363
483	0.3754224468
484	0.3743487225
485	0.3733466551
486	0.3729815405
487	0.3715139588
488	0.3703876541
489	0.3689059823
490	0.3666538395
491	0.3660359639
492	0.3650086286
493	0.3637458438
494	0.3624785524
495	0.362151861
496	0.3611602195
497	0.3597282493
498	0.359442714
499	0.3586282872
500	0.3565017444
501	0.3546017425
502	0.3530838784
503	0.3519102645
504	0.3503245275
505	0.3500780084
506	0.3496511762
507	0.3479170902
508	0.3469476407
509	0.345755763
510	0.343635244
511	0.3423046077
512	0.340383992
513	0.3382466107
514	0.3360876864
515	0.3350047693
516	0.3334347112
517	0.3326372355
518	0.3308441992
519	0.3303864456
520	0.3286531745
521	0.3271993994
522	0.3265356644
523	0.3254424092
524	0.3240989699
525	0.3236404723
526	0.3216464908
527	0.3204614485
528	0.3200751692
529	0.3189336812
530	0.3182865753
531	0.3164379951
532	0.3153544791
533	0.3143596466
534	0.3126595403
535	0.3111283368
536	0.3101993754
537	0.3089647804
538	0.3072835956
539	0.3061350362
540	0.3052107908
541	0.3032784252
542	0.3020548089
543	0.3009006217
544	0.2992779219
545	0.2977849861
546	0.2966121996
547	0.2957102539
548	0.293962604
549	0.292648223
550	0.2906705123
551	0.2891977213
552	0.2874827959
553	0.2867892803
554	0.2860039705
555	0.2851561824
556	0.2843126302
557	0.2837285269
558	0.2827291165
559	0.2822006126
560	0.2809096576
561	0.2796901112
562	0.2785721352
563	0.277079252
564	0.2764060529
565	0.27469883
566	0.2733272292
567	0.2721787168
568	0.2712060063
569	0.2698076964
570	0.2683084381
571	0.2678059765
572	0.2665640009
573	0.2649418709
574	0.2633461117
575	0.2616391929
576	0.2610376853
577	0.2591933621
578	0.2576585326
579	0.2568911023
580	0.2563388999
581	0.2561483184
582	0.2550026903
583	0.2540831185
584	0.2529148808
585	0.2513589613
586	0.2504340937
587	0.2489339204
588	0.2484691369
589	0.2477700282
590	0.2463568958
591	0.245096222
592	0.2440760949
593	0.2424272194
594	0.2413520655
595	0.2408685563
596	0.2393824741
597	0.2380799523
598	0.2368906734
599	0.2366145118
600	0.2355416552
601	0.2340529651
602	0.2331464498
603	0.2320062954
604	0.2317040511
605	0.2304659076
606	0.2291594372
607	0.2276649467
608	0.2263424555
609	0.2251817615
610	0.2245885723
611	0.2233466133
612	0.2226517931
613	0.2218045256
614	0.2205977348
615	0.2201180713
616	0.2198265817
617	0.2186607592
618	0.2175208569
619	0.2169835797
620	0.2160480505
621	0.2155764563
622	0.2147688584
623	0.2136597435
624	0.2131151101
625	0.2126160347
626	0.2115917161
627	0.210466427
628	0.2101866156
629	0.2092774846
630	0.208573482
631	0.2077448274
632	0.207537141
633	0.2068570186
634	0.2064059673
635	0.2055356944
636	0.204872052
637	0.2040196706
638	0.2034491817
639	0.20249303
640	0.2014908501
641	0.2003018937
642	0.1995943664
643	0.1988554617
644	0.1976161124
645	0.1964570502
646	0.1958737612
647	0.1949520827
648	0.1938204596
649	0.1930300579
650	0.1924387958
651	0.1919930141
652	0.1909078943
653	0.1900302387
654	0.1890685705
655	0.1883359765
656	0.1873829825
657	0.1863969335
658	0.1858198477
659	0.1849593561
660	0.1840832
661	0.183259737
662	0.1826545387
663	0.1822499028
664	0.1818104467
665	0.1812225584
666	0.1803017971
667	0.1794985398
668	0.1782884893
669	0.1773764592
670	0.1767585897
671	0.1757833051
672	0.1749025962
673	0.1743910271
674	0.1739175475
675	0.1734095671
676	0.1729372447
677	0.1721529868
678	0.1715011618
679	0.1707072269
680	0.1702830951
681	0.1693695418
682	0.1691002511
683	0.1688196677
684	0.1681096453
685	0.1672456796
686	0.1664650148
687	0.1657893899
688	0.1652344995
689	0.1647204566
690	0.1639726384
691	0.1633077306
692	0.1627686257
693	0.1618513154
694	0.161315147
695	0.1604163324
696	0.1599281165
697	0.1593445531
698	0.1585692092
699	0.1577706896
700	0.1571352261
701	0.1564304191
702	0.1559014979
703	0.1555377207
704	0.1551655579
705	0.1544457584
706	0.1537725943
707	0.1529778256
708	0.1523599127
709	0.1519641445
710	0.1516653222
711	0.1512428106
712	0.1505732292
713	0.1502052455
714	0.1494687533
715	0.1490376951
716	0.1486807668
717	0.1482222278
718	0.1477408625
719	0.1473688896
720	0.1470339784
721	0.1463338996
722	0.1458804186
723	0.1451359905
724	0.1445195057
725	0.1440055091
726	0.1435662441
727	0.1432665701
728	0.14269734
729	0.1421030136
730	0.1418691235
731	0.1414970442
732	0.1409207879
733	0.1401668737
734	0.1399632375
735	0.1393009441
736	0.1388880405
737	0.1381641222
738	0.1374722874
739	0.1367724793
740	0.1360030524
741	0.1356997912
742	0.1354060876
743	0.1346573662
744	0.1343598614
745	0.134006962
746	0.1333829392
747	0.1331279838
748	0.1324614959
749	0.1318874336
750	0.1312998167
751	0.1307350046
752	0.1302394615
753	0.1297830664
754	0.1293706013
755	0.1287195663
756	0.1281810844
757	0.1280016187
758	0.127500017
759	0.1269850187
760	0.1263983941
761	0.1260875787
762	0.1256583497
763	0.1253738414
764	0.1248947935
765	0.124512477
766	0.124307496
767	0.124105392
768	0.1238573223
769	0.1234485512
770	0.1232533791
771	0.1229850606
772	0.1225478828
773	0.1221992572
774	0.1218575212
775	0.1214112858
776	0.1211275398
777	0.1208169742
778	0.120543592
779	0.119976052
780	0.1194972292
781	0.1189721579
782	0.1183757667
783	0.1179709253
784	0.1174438333
785	0.1170757777
786	0.1169101365
787	0.1163595115
788	0.1160656454
789	0.1157018388
790	0.1155085345
791	0.1153030423
792	0.1147610089
793	0.1145126201
794	0.1142925269
795	0.1136967249
796	0.1134412359
797	0.1128933585
798	0.1125191849
799	0.1123801284
800	0.1118892086
801	0.1113304166
802	0.1107470262
803	0.1103652659
804	0.1100733632
805	0.1099479659
806	0.1097976425
807	0.1095848792
808	0.1091914583
809	0.1089171439
810	0.1087042647
811	0.1082628594
812	0.1080331679
813	0.1077961749
814	0.1073021328
815	0.1071428671
816	0.1066951013
817	0.1062023036
818	0.1058373649
819	0.1056568468
820	0.1051054321
821	0.1046203767
822	0.1043901827
823	0.1039889479
824	0.1035980147
825	0.1033149892
826	0.1031025266
827	0.1026390702
828	0.1022300798
829	0.1020795859
830	0.1016053774
831	0.1012434587
832	0.1010226656
833	0.1008112956
834	0.1004063503
835	0.1000091367
836	0.09954122004
837	0.09938603886
838	0.09900708827
839	0.09878289904
840	0.09860952452
841	0.0981427809
842	0.09795728615
843	0.09752387
844	0.09734920005
845	0.09687598923
846	0.09659735215
847	0.09649182919
848	0.09624719522
849	0.0960757844
850	0.09565938395
851	0.09546318534
852	0.09530813998
853	0.09491324409
854	0.09468457933
855	0.09454466967
856	0.09427203958
857	0.09394207177
858	0.0936744947
859	0.09352101683
860	0.09339666127
861	0.0932859684
862	0.09315961195
863	0.09300936522
864	0.09289296388
865	0.09282760003
866	0.09265979953
867	0.09248999276
868	0.09203868869
869	0.0916117846
870	0.09143147446
871	0.09134293578
872	0.09099010624
873	0.09083409952
874	0.09052975062
875	0.09024281638
876	0.08980553154
877	0.08942801179
878	0.08922466961
879	0.08883114711
880	0.08861068246
881	0.08850596194
882	0.08825810361
883	0.08805331295
884	0.0878116152
885	0.0875519514
886	0.08723381743
887	0.08715819002
888	0.08705952953
889	0.08691791156
890	0.08682665186
891	0.08634806346
892	0.08599463129
893	0.08563582523
894	0.08546957435
895	0.0851250402
896	0.0849447559
897	0.08473321277
898	0.08436891306
899	0.08407519102
900	0.08384305003
901	0.08348262829
902	0.08326713911
903	0.08315620784
904	0.08300196726
905	0.08285130246
906	0.08252126495
907	0.08224025257
908	0.08187935245
909	0.0815437722
910	0.08129948988
911	0.08093947982
912	0.08074777405
913	0.08060642569
914	0.08042778508
915	0.08014833868
916	0.08005290264
917	0.07994001845
918	0.07969201102
919	0.07957447273
920	0.07938972525
921	0.07918209945
922	0.07910295602
923	0.07884640715
924	0.07860166836
925	0.07841723912
926	0.07819318554
927	0.07790340427
928	0.07772440456
929	0.07760314314
930	0.07742844945
931	0.07729431577
932	0.07712643021
933	0.07677330604
934	0.07652328522
935	0.07625114838
936	0.07612874322
937	0.07578309861
938	0.07556688891
939	0.07542618782
940	0.07533138508
941	0.07506966951
942	0.07493092866
943	0.0747605381
944	0.0746168391
945	0.07428063677
946	0.07416117553
947	0.07395465258
948	0.07361519656
949	0.07331327432
950	0.07308761644
951	0.07279625231
952	0.07244495338
953	0.07214122985
954	0.07176184428
955	0.07154419001
956	0.07147596526
957	0.07118506896
958	0.07093164421
959	0.07075455449
960	0.07051603123
961	0.07039927441
962	0.07028031886
963	0.07013609817
964	0.07001512725
965	0.06985510241
966	0.06957410696
967	0.06932459211
968	0.06897214278
969	0.06875545359
970	0.0686056217
971	0.06839872658
972	0.06825481967
973	0.06797442825
974	0.06772260119
975	0.06746116645
976	0.0671530601
977	0.06684095832
978	0.06671295248
979	0.066475717
980	0.06625279675
981	0.06597435655
982	0.06588581082
983	0.06560888652
984	0.06533051446
985	0.06512251494
986	0.06499677512
987	0.06484703543
988	0.064646014
989	0.0645396534
990	0.06435439217
991	0.0641526439
992	0.06393932793
993	0.06375001937
994	0.06362065561
995	0.0634855984
996	0.06317610394
997	0.06306831548
998	0.06297179985
999	0.06286476674
